Date,MarketCap,Volume,Price,,
2024-01-29,$0.000000000000000000,"$954,905",1.625,,
2024-01-28,$0.000000000000000000,"$1,320,544",1.68,,
2024-01-27,$0.000000000000000000,"$2,808,663",1.67,,
2024-01-26,$0.000000000000000000,"$1,479,411",1.535,,
2024-01-25,$0.000000000000000000,"$2,475,057",1.41,,
2024-01-24,$0.000000000000000000,"$4,643,310",1.4,,
2024-01-23,$0.000000000000000000,"$1,192,574",1.2355,,
2024-01-22,$0.000000000000000000,"$405,709",1.0208965,,
2024-01-21,$0.000000000000000000,"$320,646",0.962086,,
2024-01-20,$0.000000000000000000,"$509,124",0.933351,,
2024-01-19,$0.000000000000000000,"$419,259",0.9033625,,
2024-01-18,$0.000000000000000000,"$882,266",0.919941,,
2024-01-17,$0.000000000000000000,"$273,860",0.9413275,,
2024-01-16,$0.000000000000000000,"$283,254",0.9192385,,
2024-01-15,$0.000000000000000000,"$541,145",0.902659,,
2024-01-14,$0.000000000000000000,"$1,588,453",0.922978,,
2024-01-13,$0.000000000000000000,"$583,931",0.885298,,
2024-01-12,$0.000000000000000000,"$1,345,229",0.8354305,,
2024-01-11,$0.000000000000000000,"$1,392,603",0.893034,,
2024-01-10,$0.000000000000000000,"$1,389,490",0.956016,,
2024-01-09,$0.000000000000000000,"$1,745,960",1.0200845,,
2024-01-08,$0.000000000000000000,"$1,074,625",0.954608,,
2024-01-07,$0.000000000000000000,"$405,372",0.8126745,,
2024-01-06,$0.000000000000000000,"$633,846",0.7701605,,
2024-01-05,$0.000000000000000000,"$793,404",0.78602,,
2024-01-04,$0.000000000000000000,"$1,089,639",0.8230835,,
2024-01-03,$0.000000000000000000,"$1,180,832",0.806853,,
2024-01-02,$0.000000000000000000,"$1,905,273",0.8100305,,
2024-01-01,$0.000000000000000000,"$1,135,410",0.786471,,
2023-12-31,$0.000000000000000000,"$548,972",0.6459,,
2023-12-30,$0.000000000000000000,"$533,847",0.588904,,
2023-12-29,$0.000000000000000000,"$1,030,366",0.628134,,
2023-12-28,$0.000000000000000000,"$614,373",0.657035,,
2023-12-27,$0.000000000000000000,"$854,378",0.6510515,,
2023-12-26,$0.000000000000000000,"$708,217",0.6656575,,
2023-12-25,$0.000000000000000000,"$748,556",0.6923885,,
2023-12-24,$0.000000000000000000,"$974,406",0.727547,,
2023-12-23,$0.000000000000000000,"$821,709",0.7040565,,
2023-12-22,$0.000000000000000000,"$1,056,640",0.6802205,,
2023-12-21,$0.000000000000000000,"$1,285,095",0.745037,,
2023-12-20,$0.000000000000000000,"$4,624,687",0.7486365,,
2023-12-19,$0.000000000000000000,"$1,549,434",0.619384,,
2023-12-18,$0.000000000000000000,"$603,218",0.5023565,,
2023-12-17,$0.000000000000000000,"$930,914",0.5160925,,
2023-12-16,$0.000000000000000000,"$1,578,879",0.568686,,
2023-12-15,$0.000000000000000000,"$1,543,339",0.6583045,,
2023-12-14,$0.000000000000000000,"$1,804,145",0.690316,,
2023-12-13,$0.000000000000000000,"$1,225,232",0.6467105,,
2023-12-12,$0.000000000000000000,"$1,459,710",0.6475015,,
2023-12-11,$0.000000000000000000,"$1,004,693",0.7202635,,
